Date,S&PCOMP(PO),S&PCOMP(PI),NASA100(PO),NASA100(PI)
1978-09-13 0:00,someValue,106.34,someValue,someValue
1978-09-14 0:00,someValue,105.1,someValue,someValue
1978-09-15 0:00,someValue,104.12,someValue,someValue
1978-09-18 0:00,someValue,103.21,someValue,someValue
1978-09-19 0:00,someValue,102.53,someValue,someValue
1978-09-20 0:00,someValue,101.73,someValue,someValue
1978-09-21 0:00,someValue,101.9,someValue,someValue
1978-09-22 0:00,someValue,101.84,someValue,someValue
1978-09-25 0:00,someValue,101.86,someValue,someValue
1978-09-26 0:00,someValue,102.62,someValue,someValue
1978-09-27 0:00,someValue,101.66,someValue,someValue
